046 Age Gira Basket_Mabe.txt
((1.0, 0.8, 0.0, -2.5), (0.0, 0.0, -0.1, -13.1), (0.28, 0.0, 0.0, 24.0), (0.0, 0.0, 0.0, 1.0))
((1.0, 0.8, 0.0,  2.5), (0.0, 0.0,  0.1, -13.1), (-0.28, 0.0, 0.0, 24.0), (0.0, 0.0, 0.0, 1.0))
((1.0, 0.8, 0.0, -0.0), (0.0, 0.0, 0.0, -13.1), (0.0, 0.0, 0.0, 26.0), (0.0, 0.0, 0.0, 1.0))
((1.0, 0.8, 0.0,  3.0), (0.0, 0.0, -0.1, -12.9), (0.28, 0.0, 0.0, 5.0), (0.0, 0.0, 0.0, 1.0))
((1.0, 0.8, 0.0, -3.0), (0.0, 0.0, 0.1, -12.9), (-0.28, 0.0, 0.0, 5.0), (0.0, 0.0, 0.0, 1.0))
((0.0, -0.0, 1.0, 5.5), (1.0, 0.0, -0.0, -12.2), (-0.0, 1.0, 0.0, -155.4), (0.0, 0.0, 0.0, 1.0))
((0.0,  0.7, -0.7, -4.0), (1.0, -0.0, 0.0, -12.3), (-0.0, -0.7, -0.7,   14.6), (0.0, 0.0, 0.0, 1.0))
((0.0, -0.7, 0.7,   4.0), (1.0, -0.0, 0.0, -12.3), (-0.0, 0.7, 0.7,   14.6), (0.0, 0.0, 0.0, 1.0))
((0.0, -0.0, -0.0, -6.0), (-1.0, 0.0, -0.0, -12.2), (0.0, 0.0, -0.0, -155.0), (0.0, 0.0, 0.0, 1.0))
((0.0, -0.0, -0.0,  6.0), (1.0, 0.0, -0.0, -12.2), (0.0, 0.0, -0.0, -155.0), (0.0, 0.0, 0.0, 1.0))
((0.0, 1.0, 0.0,   00.0), (  0.6, 0.0, 0.4, -11.2), (1.0, 0.0, 0.0, 18.5), (0.0, 0.0, 0.0, 1.0))
((0.0, -0.8, 0.0, -02.0), (-0.45, 0.0, 0.4, -11.2), (-0.8, 0.0, 0.0, 10.2), (0.0, 0.0, 0.0, 1.0))
((0.0, 0.8, 0.0,   02.0), (  0.45, 0.0, 0.4, -11.2), (0.8, 0.0, 0.0, 10.2), (0.0, 0.0, 0.0, 1.0))
((0.0, 1.0, 0.0,   00.0), (  0.6, 0.0, 0.4, -11.2), (1.0, 0.0, 0.0,   2.0), (0.0, 0.0, 0.0, 1.0))
((0.0, 0.0, 0.0,   00.0), (  0.0, 0.0, 0.4, -11.2), (0.0, 0.0, 0.0, 14.5), (0.0, 0.0, 0.0, 1.0))
((0.0, 0.0, 0.0,    0.0), (0.0, 0.0, 0.4, -11.1), (0.0, 0.0, 0.0, 30.0), (0.0, 0.0, 0.0, 1.0))
((0.3, 0.4, 0.0,   -5.0), (0.0, 0.0, 0.4, -11.1), (1.0, -0.12, 0.0,   7.5), (0.0, 0.0, 0.0, 1.0))
((-0.3, 0.4, 0.0,   5.0), (0.0, 0.0, 0.4, -11.1), (1.0,  0.12, 0.0,   7.5), (0.0, 0.0, 0.0, 1.0))
((0.3, 0.4, 0.0,    5.0), (0.0, 0.0, 0.4, -11.1), (1.0, -0.12, 0.0, 22.0), (0.0, 0.0, 0.0, 1.0))
((-0.3, 0.4, 0.0,  -5.0), (0.0, 0.0, 0.4, -11.1), (1.0,  0.12, 0.0, 22.0), (0.0, 0.0, 0.0, 1.0))
((-0.0, 0.0, 0.0, 0.0), (0.0, 1.0, 0.0, -10.0), (0.0, 0.0, 1.0, -155.0), (0.0, 0.0, 0.0, 1.0))
((-0.0, 0.0, 0.0, -4.2), (0.0, 1.0, 0.0, -10.0), (0.0, 0.0, 1.0, -112.0), (0.0, 0.0, 0.0, 1.0))
((-0.0, 0.0, 0.0, 6.2), (0.0, 1.0, 0.0, -9.8), (0.0, 0.0, 1.0, -155.0), (0.0, 0.0, 0.0, 1.0))
((-0.0, 0.0, 0.0, 6.2), (0.0, 1.0, 0.0, -9.8), (0.0, 0.0, 1.0, -150.0), (0.0, 0.0, 0.0, 1.0))
((-0.0, 0.0, 0.0, 6.2), (0.0, 1.0, 0.0, -9.8), (0.0, 0.0, 1.0, -150.0), (0.0, 0.0, 0.0, 1.0))
