Sym 22 Domino_Mabe.txt
((1.0, 0.0, 0.0,  -10.0), (0.0, 1.0, 0.0, -24.0), (1.6, 0.0, 1.0, -0.8), (0.0, 0.0, 0.0, 1.0))
((1.0, 0.0, 0.0,  -24.0), (0.0, 1.0, 0.0, -17.0), (1.6, 0.0, 1.0, 13.1), (0.0, 0.0, 0.0, 1.0))
((1.0, 0.0, 0.0,   24.0), (0.0, 1.0, 0.0, -17.0), (1.6, 0.0, 1.0, 13.1), (0.0, 0.0, 0.0, 1.0))
((1.0, 0.0, 0.0, -30.0), (0.0, 1.0, 0.0, -13.0), (1.6, 0.0, 1.0, 16.1), (0.0, 0.0, 0.0, 1.0))
((1.0, 0.0, 0.0,  30.0), (0.0, 1.0, 0.0, -13.0), (1.6, 0.0, 1.0, 16.1), (0.0, 0.0, 0.0, 1.0))
((      0.0, -0.0, 1.0, 3.5), (1.0, 0.003, -0.0003, -0.0), (-0.003, 1.0, 0.0, 4.4), (0.0, 0.0, 0.0, 1.0))
((     -0.018, 1.0, 0.017, -3.5), (1.0, 0.018, 1.8130e-05, -0.0), (-0.0, 0.017, -1.0, 4.4), (0.0, 0.0, 0.0, 1.0))
((2.444519122946076e-05, -0.7, -0.7, 10.3), (-1.0, 2.9411630748654716e-05, -5.5497429083334282e-05, -24.0), (5.7081000704783946e-05, 0.7, -0.7, -1.0), (0.0, 0.0, 0.0, 1.0))
((     -0.0, -0.7, 0.7, 10.2), (1.0, -0.0, 0.0, -0.0), (-0.0, 0.7, 0.7, 5.8), (0.0, 0.0, 0.0, 1.0))
((      0.0, 1.0, 0.0, -10.0), (0.0, 0.0, 0.0, -0.0), (0.42, 0.42, 0.0, 5.8), (0.0, 0.0, 0.0, 1.0))
((0.0, 0.0, 0.0,   -7.0), (0.0, 0.0, 0.0, -22.0), (0.0, 0.0, 0.0,  2.0), (0.0, 0.0, 0.0, 1.0))
((0.0, 0.0, 0.0, -17.5), (0.0, 0.0, 0.0, -22.0), (0.0, 0.0, 0.0,  7.1), (0.0, 0.0, 0.0, 1.0))
((0.0, 0.0, 0.0,  17.5), (0.0, 0.0, 0.0, -22.0), (0.0, 0.0, 0.0,  7.1), (0.0, 0.0, 0.0, 1.0))
((0.0, 0.0, 0.0, -19.5), (0.0, 0.0, 0.0, -20.0), (0.0, 0.0, 0.0, 10.1), (0.0, 0.0, 0.0, 1.0))
((0.0, 0.0, 0.0,  19.5), (0.0, 0.0, 0.0, -20.0), (0.0, 0.0, 0.0, 10.1), (0.0, 0.0, 0.0, 1.0))
((     0.0, 0.0, 0.0, -21.0), (0.0, 0.0, 0.0,   -0.0), (-0.8, 0.0, 0.0,   7.5), (0.0, 0.0, 0.0, 1.0))
((     0.0, 0.4, 0.0, -30.0), (-0.0, 0.0, 0.0,  -5.0), ( 1.0, 0.4, 0.0, 16.2), (0.0, 0.0, 0.0, 1.0))
((     0.0, 0.4, 0.0,  30.0), ( 0.0, 0.0, 0.0,  -5.0), ( 1.0, 0.4, 0.0, 16.2), (0.0, 0.0, 0.0, 1.0))
((     0.0, 0.0, 0.0,  21.0), (0.0, 0.0, 0.0,   -0.0), ( 0.8, 0.0, 0.0,   7.5), (0.0, 0.0, 0.0, 1.0))
((     0.0, 0.0, 0.0, 1.5), (0.0, 0.0, 0.0,    -22.0), (0.0, 0.0, 0.0, 2.0), (0.0, 0.0, 0.0, 1.0))
((-0.0, 0.0, 0.0,     0.0), (0.0, 1.0, 0.0, -22.0), (0.0, 0.0, 1.0,   2.0), (0.0, 0.0, 0.0, 1.0))
((-0.0, 0.0, 0.0,  -13.2), (0.0, 1.0, 0.0, -22.0), (0.0, 0.0, 1.0,   1.5), (0.0, 0.0, 0.0, 1.0))
((-0.0, 0.0, 0.0,   13.2), (0.0, 1.0, 0.0, -22.0), (0.0, 0.0, 1.0,   1.5), (0.0, 0.0, 0.0, 1.0))
((-0.0, 0.0, 0.0, -15.5), (0.0, 1.0, 0.0, -22.0), (0.0, 0.0, 1.0,   4.0), (0.0, 0.0, 0.0, 1.0))
((-0.0, 0.0, 0.0,  15.5), (0.0, 1.0, 0.0, -22.0), (0.0, 0.0, 1.0,   4.0), (0.0, 0.0, 0.0, 1.0))
